model_name,term,coefficient,expected_sign,actual_sign,matches_expected_sign,notes
green_transition,Year_2005,0.049931731325855065,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2006,0.1074076387667838,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2007,0.09213075409465893,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2008,-0.14495424419549657,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2009,0.03441891175544819,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2010,0.058193261246682476,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2011,-0.09509749117087263,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2012,0.0034159211963699742,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,log_EI,0.024393406485262527,positive,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
network_robustness,green_capability,0.0044621562405821715,positive,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
network_robustness,g_in,0.0010202117001732755,positive,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
network_robustness,g_out,-0.009414744661240128,positive,negative,False,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
network_robustness,general_complexity,0.013774696120451619,positive_or_moderating,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
network_robustness,Sector_Agriculture,0.002179859515093335,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Electrical and Machinery,-0.018364956030424123,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Food & Beverages,0.014597972795119546,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Metal Products,-0.01869023099251247,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Mining and Quarrying,-0.008111380097592468,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Other Manufacturing,-0.007126774176518428,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Others,-0.0018513957654941393,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,"Sector_Petroleum, Chemical and Non-Metallic Mineral Products",-0.010888664330939503,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Re-export & Re-import,0.04957904295243454,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Textiles and Wearing Apparel,0.008508302762910636,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Transport Equipment,-0.0030144356384840232,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Sector_Wood and Paper,-0.006817340993831883,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_1995,-0.012481802033749968,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_1996,-0.05776864359760077,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_1997,-0.0736585752675219,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_1998,-0.05701878276963261,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_1999,-0.014253749773429653,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2000,-0.08799262845867353,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2001,-0.009536201601514012,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2002,0.04289122459734921,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2003,0.07364992430331307,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2004,0.07576343488801272,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2005,0.05036927373283266,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2006,0.1083889587381421,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2007,0.09364071028614157,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2008,-0.14293027185852375,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2009,0.03659473411700572,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2010,0.060472062915418075,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2011,-0.09228217370656092,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
network_robustness,Year_2012,0.006152505488685231,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
